"","Year","Month","Minimum","Maximum","Average","Num_Samples"
"1",2002,4,0.06,29.8,14.2822543352601,173
"2",2002,5,1.29,28.98,13.0672235294118,425
"3",2002,6,8.59,34.99,20.7521503759398,665
"4",2002,7,11.88,35.06,23.8271382113821,615
"5",2002,8,12.48,35.85,22.4830551626591,707
"6",2002,9,7.09,35.83,19.6465797101449,690
"7",2002,10,-1.74,27.78,9.19502923976608,684
"8",2002,11,-6.27,15.9,3.40266666666667,690
"9",2002,12,-16.24,8.66,-1.85215988779804,713
"10",2003,1,-25.39,4.94,-7.22762973352034,713
"11",2003,2,-23.86,8.03,-6.41090062111801,644
"12",2003,3,-23.8,20.15,-0.0605189340813464,713
"13",2003,4,-7.96,26.61,6.05601449275362,690
"14",2003,5,3.39,23.73,12.6448106591865,713
"15",2003,6,6.44,37.07,19.1736811594203,690
"16",2003,7,12.82,34.73,22.1000561009818,713
"17",2003,8,11.02,31.83,22.0815147265077,713
"18",2003,9,3.8,28.54,16.8759275362319,690
"19",2003,10,-1.37,25.11,8.9501683029453,713
"20",2003,11,-5,18.19,5.08928985507246,690
"21",2003,12,-11.51,9.99,-0.0539130434782609,713
"22",2004,1,-23.63,12.82,-8.32666199158485,713
"23",2004,2,-18.78,10.83,-3.42865067466267,667
"24",2004,3,-11.45,17.7,1.99661991584853,713
"25",2004,4,-5.58,23.18,7.2605652173913,690
"26",2004,5,-0.09,29.69,13.9266058906031,713
"27",2004,6,7.33,32.05,18.1959130434783,690
"28",2004,7,11.97,31.99,20.9299438990182,713
"29",2004,8,8.08,29.99,19.4916549789621,713
"30",2004,9,6.7,29.19,18.0867971014493,690
"31",2004,10,1.59,24.98,10.5196633941094,713
"32",2004,11,-3.37,13.25,5.15630434782609,690
"33",2004,12,-21.78,10.76,-2.53479663394109,713
"34",2005,1,-26.32,15.98,-6.49468443197756,713
"35",2005,2,-19.55,7.76,-3.75142857142857,644
"36",2005,3,-17.23,18.28,-1.71664796633941,713
"37",2005,4,-0.7,27.01,7.57142028985507,690
"38",2005,5,0.56,26.74,12.0353576437588,713
"39",2005,6,9.56,35.26,22.703347826087,690
"40",2005,7,11.36,35.88,23.3205890603086,713
"41",2005,8,9.5,32.47,20.3878698224852,676
"42",2005,9,-54.99,30.42,15.1793043478261,690
"43",2005,10,-54.99,19.17,-20.2300841514727,713
"44",2005,11,-11.06,17.27,4.44089855072464,690
"45",2005,12,-17.48,4.35,-4.02561009817672,713
