"","Year","Month","Minimum","Maximum","Total","Num_Samples"
"1",2000,1,0,2.8,26.2,744
"2",2000,2,0,3.8,28,696
"3",2000,3,0,6,47.2,744
"4",2000,4,0,19.2,85.2,720
"5",2000,5,0,12,116.2,744
"6",2000,6,0,8.4,132.6,720
"7",2000,7,0,7,61.8,744
"8",2000,8,0,11.6,46.8,744
"9",2000,9,0,11,91.8,720
"10",2000,10,0,2.2,19.2,744
"11",2000,11,0,2.6,20.8,720
"12",2000,12,0,2.4,27.2,744
"13",2001,1,0,2.2,13.8,744
"14",2001,2,0,4.8,67.4,672
"15",2001,3,0,4.2,25.4,744
"16",2001,4,0,3.4,44.6,720
"17",2001,5,0,7,73.6,744
"18",2001,6,0,6,57.8,720
"19",2001,7,0,11.6,27,744
"20",2001,8,0,11.4,54.8,744
"21",2001,9,0,10.8,74.2,720
"22",2001,10,0,7.8,141.4,744
"23",2001,11,0,8,94.2,720
"24",2001,12,0,2,40,744
"25",2002,1,0,2.4,24.6,744
"26",2002,2,0,3.6,43.2,672
"27",2002,3,0,4.4,59.2,744
"28",2002,4,0,4.6,95.6,720
"29",2002,5,0,12.6,85.2,744
"30",2002,6,0,13.6,72.2,720
"31",2002,7,0,14.2,71.4,744
"32",2002,8,0,1.2,8.4,744
"33",2002,9,0,16.4,72.4,720
"34",2002,10,0,3.8,62,744
"35",2002,11,0,10,65.2,720
"36",2002,12,0,2.6,23.6,744
"37",2003,1,0,3.2,10.2,744
"38",2003,2,0,9,29.4,672
"39",2003,3,0,3.8,43.9,744
"40",2003,4,0,5.4,41.6,720
"41",2003,5,0,12.6,115.6,744
"42",2003,6,0,28.6,99.8,720
"43",2003,7,0,4.6,41,744
"44",2003,8,0,9.6,37,744
"45",2003,9,0,15.2,142.2,720
"46",2003,10,0,8.6,83.6,744
"47",2003,11,0,6.6,149,720
"48",2003,12,0,4,66,744
"49",2004,1,0,3.4,10.4,744
"50",2004,2,0,2.6,30,696
"51",2004,3,0,6.4,94.8,744
"52",2004,4,0,8.4,55.4,720
"53",2004,5,0,14,120.4,744
"54",2004,6,0,10.6,60.6,720
"55",2004,7,0,9.8,92.8,744
"56",2004,8,0,5,40.8,744
"57",2004,9,0,4.8,30.6,720
"58",2004,10,0,12,66.8,744
"59",2004,11,0,4.2,68.2,720
"60",2004,12,0,5.8,83,744
"61",2005,1,0,5.8,38.2,744
"62",2005,2,0,4.8,54,672
"63",2005,3,0,2.2,17.8,744
"64",2005,4,0,4.6,84.6,720
"65",2005,5,0,4,28,744
"66",2005,6,0,7.2,36,720
"67",2005,7,0,30.2,154.6,744
"68",2005,8,0,6.4,71.2,744
"69",2005,9,0,7.8,71.8,720
"70",2005,10,0,3.4,38.6,744
"71",2005,11,0,11.2,114.4,720
"72",2005,12,0,2.4,26.6,744
"73",2006,1,0,4.4,90.8,744
"74",2006,2,0,12,67.2,672
"75",2006,3,0,7.6,63.6,744
"76",2006,4,0,6.4,67.4,720
"77",2006,5,0,9.8,100.2,744
"78",2006,6,0,5.2,31.8,720
"79",2006,7,0,23.4,164.6,744
"80",2006,8,0,14,49,744
"81",2006,9,0,24.2,149.2,720
"82",2006,10,0,16.8,171.4,744
"83",2006,11,0,6.8,76.4,720
"84",2006,12,0,10.2,81.4,744
"85",2007,1,0,4.6,51.8,744
"86",2007,2,0,3.6,10.6,672
"87",2007,3,0,1.2,11.2,744
"88",2007,4,0,4.4,40.2,720
"89",2007,5,0,7,30.2,744
"90",2007,6,0,7.8,21.2,720
"91",2007,7,0,14.6,40.6,744
"92",2007,8,0,7,32.8,744
"93",2007,9,0,4.8,32.6,720
"94",2007,10,0,15.2,59.2,744
"95",2007,11,0,4.2,79.6,720
"96",2007,12,0,6.6,86,744
"97",2008,1,0,5.8,58.6,744
