"","Year","Month","Minimum","Maximum","Average","Num_Samples"
"1",1999,8,0.155,0.178,0.166203703703704,54
"2",1999,9,0.137,0.997,0.255440239043825,502
"3",1999,10,0.351,1.095,0.484923387096774,744
"4",1999,11,0.361,2.487,0.6755875,720
"5",1999,12,0.395,1.116,0.579942204301075,744
"6",2000,1,0.325,0.782,0.524927419354839,744
"7",2000,2,0.397,3.784,0.94176867816092,696
"8",2000,3,0.487,1.116,0.661677419354839,744
"9",2000,4,0.401,5.425,0.922427777777778,720
"10",2000,5,0.395,3.46,1.00380241935484,744
"11",2000,6,0.424,2.897,1.0256230876217,719
"12",2000,7,0.341,1.14,0.559635752688172,744
"13",2000,8,0.317,2.542,0.559522849462366,744
"14",2000,9,0.333,0.954,0.441993036211699,718
"15",2000,10,0.374,0.638,0.434764784946237,744
"16",2000,11,0.359,1.086,0.594443055555556,720
"17",2000,12,0.315,1.234,0.741452956989247,744
"18",2001,1,0.339,0.951,0.72314247311828,744
"19",2001,2,0.414,6.529,1.52550446428571,672
"20",2001,3,0.454,1.98,0.96404435483871,744
"21",2001,4,0.549,2.364,1.19595138888889,720
"22",2001,5,0.341,1.68,0.608198924731183,744
"23",2001,6,0.278,0.876,0.453138888888889,720
"24",2001,7,0.171,0.296,0.233319892473118,744
"25",2001,8,0.122,0.478,0.191043243243243,740
"26",2001,9,0.153,0.578,0.230756944444444,720
"27",2001,10,0.244,1.225,0.666657258064516,744
"28",2001,11,0.422,2.392,0.6557,720
"29",2001,12,0.43,2.535,0.895670698924731,744
"30",2002,1,0.269,0.886,0.621748493975904,664
"31",2002,2,0.345,1.965,0.932093357271095,557
"32",2002,3,0.534,1.76,1.0087002688172,744
"33",2002,4,0.638,2.795,1.30116388888889,720
"34",2002,5,0.398,2.617,1.06935983827493,742
"35",2002,6,0.325,0.951,0.504409722222222,720
"36",2002,7,0.199,0.422,0.272412634408602,744
"37",2002,8,0.158,0.3,0.200575268817204,744
"38",2002,9,0.137,0.52,0.205718055555556,720
"39",2002,10,0.24,0.433,0.298948087431694,732
"40",2002,11,0.302,0.964,0.395311111111111,720
"41",2002,12,0.201,0.647,0.393559139784946,744
"42",2003,1,-1.584,0.608,0.377825268817204,744
"43",2003,2,0.395,0.76,0.545304347826087,667
"44",2003,3,0.549,3.58,1.16854582210243,742
"45",2003,4,0.411,1.76,0.868287899860918,719
"46",2003,5,0.411,1.9,0.826614247311828,744
"47",2003,6,0.222,1.08,0.429777468706537,719
"48",2003,7,0.169,0.374,0.245775537634409,744
"49",2003,8,0.169,0.984,0.27159811827957,744
"50",2003,9,0.169,1.313,0.33245,720
"51",2003,10,0.361,1.156,0.571759408602151,744
"52",2003,11,0.534,3.086,1.11459109874826,719
"53",2003,12,0.558,2.105,1.03995698924731,744
"54",2004,1,0.6711,1.499,0.957532123655914,744
"55",2004,2,0.4515,1.56,1.10032083333333,696
"56",2004,3,0.614,6.0116,1.82590819758065,744
"57",2004,4,0.7888,3.76,1.36731569166667,720
"58",2004,5,0.611,2.692333,1.17017661290323,744
"59",2004,6,0.403,1.372,0.604992083333333,720
"60",2004,7,0.3635,1.0335,0.497162634408602,744
"61",2004,8,0.341,0.9543,0.443844489247312,744
"62",2004,9,0.341,0.9084,0.424327638888889,720
"63",2004,10,0.347,0.7352,0.485690456989247,744
"64",2004,11,0.5088,1.077,0.689997430555556,720
"65",2004,12,0.3887,1.925,0.856017741935484,744
"66",2005,1,0.738,3.32,1.34981989247312,744
"67",2005,2,0.578,4.302,1.3879255952381,672
"68",2005,3,0.357,2.906,1.0709314516129,744
"69",2005,4,0.789,5.029,2.00900981767181,713
"70",2005,5,0.446,1.244,0.69194204851752,742
"71",2005,6,0.309,0.854,0.427951388888889,720
"72",2005,7,0.263,2.091,0.47339247311828,744
"73",2005,8,0.287,0.908,0.375384408602151,744
"74",2005,9,0.294,1,0.421320833333333,720
"75",2005,10,0.398,1.024,0.495787634408602,744
"76",2005,11,0.492,2.679,0.919548158640227,706
"77",2005,12,0.414,2.241,0.912932795698925,744
"78",2006,1,0.705,2.65816666666666,1.22970008960573,744
"79",2006,2,0.578,2.91499999999999,1.42907941468254,672
"80",2006,3,0.349,4.60885714285714,1.46621389849008,744
"81",2006,4,0.6928,1.9,1.07652375,720
"82",2006,5,0.52,2.52833333333333,0.991616353046594,744
"83",2006,6,0.3656,0.6866,0.465233888888888,720
"84",2006,7,0.355099999999999,1.765,0.527030480204788,744
"85",2006,8,0.319,0.638,0.380214717741935,744
"86",2006,9,0.335,2.52149999999999,0.688660648148148,720
"87",2006,10,0.6928,3.7,1.44108931451613,744
"88",2006,11,0.8168,3.014,1.14897320884593,720
"89",2006,12,0.8668,5.38545454545454,1.48999489936264,744
"90",2007,1,0.578,2.14566666666667,1.12416720430108,744
"91",2007,2,0.7951,1.49,1.07317660406886,639
"92",2007,3,0.7696,6.0116,1.77273701518965,744
"93",2007,4,0.8199,2.1525,1.31075188174798,720
"94",2007,5,0.4812,1.83,0.789105562817174,744
"95",2007,6,0.341,0.8924,0.457482206995657,720
"96",2007,7,0.285,0.3998,0.335362984020475,744
"97",2007,8,0.2652,0.653,0.317945760269354,744
"98",2007,9,0.2796,0.3866,0.317087125626946,718
"99",2007,10,0.323,1.48198666666698,0.490154848839119,743
"100",2007,11,0.4515,1.442,0.627361049438176,719
"101",2007,12,0.4976,1.94,0.898980204950801,742
"102",2008,1,0.5345,4.88328571428571,1.24831155491551,744
"103",2008,2,0.668,2.17983333333333,1.26246179856115,695
"104",2008,3,0.8106,2.6855,1.30835582437276,744
"105",2008,4,0.7728,6.928,2.43166844914474,719
"106",2008,5,0.506,3.184,1.03213512544803,744
"107",2008,6,0.4948,1.544,0.716852297113292,720
"108",2008,7,0.4137,4.44742857142857,1.04269869431644,744
"109",2008,8,0.4704,1.785,0.799933905151404,744
"110",2008,9,0.438,3.086,0.954480058970311,720
"111",2008,10,0.717003333333395,1.164,0.836633103967324,744
"112",2008,11,0.7728,3.39398777777798,1.19690729830749,720
"113",2008,12,0.779207111111231,4.38285714285714,1.66204592316465,744
"114",2009,1,0.4461,2.255,1.29866196236559,744
"115",2009,2,0.6897,9.289,2.65172648321222,672
"116",2009,3,1.16,4.851,2.18884431708018,744
"117",2009,4,0.984,4.64114285714286,2.18631427601686,719
"118",2009,5,0.9708,5.04471428571428,1.71636000976829,742
"119",2009,6,0.8261,1.552,1.06356265807796,720
"120",2009,7,0.662,2.20033333333333,0.976968997272839,743
"121",2009,8,0.665,3.173,1.21432771685686,743
"122",2009,9,0.5172,1.09201000000043,0.657434223789056,720
"123",2009,10,0.6835,1.93,0.984906113719096,743
"124",2009,11,0.3866,1.14,0.699498060549006,678
"125",2009,12,0.435302999999956,2.1115,1.08058225793521,744
"126",2010,1,0.374,1.52,0.785435498207885,744
"127",2010,2,0.204,0.823,0.513709821428571,672
"128",2010,3,0.52,9.1,1.85544393823021,744
"129",2010,4,0.578,3.25,1.04071990740741,720
"130",2010,5,0.374,1.6,0.642739247311833,744
"131",2010,6,0.374,1.64,0.725930555555556,720
"132",2010,7,0.3092,2.942,0.616922498938355,744
"133",2010,8,0.317,0.5664,0.394066758517519,744
"134",2010,9,0.313,1.407,0.492161283372334,710
"135",2010,10,0.5116,1.337,0.736003607724631,743
"136",2010,11,0.5116,1.344,0.757603981481482,720
"137",2010,12,0.3698,2.45316666666667,0.765156935479717,743
"138",2011,1,0.4623,1.462,0.714865786738352,744
"139",2011,2,0.662,2.978,1.12858601190476,672
"140",2011,3,0.4353,4.93171428571429,1.90749736943164,744
"141",2011,4,0.8828,3.05,1.64858116203704,720
"142",2011,5,0.705,4.01875,1.46282004928315,744
"143",2011,6,0.4866,4.14071428571429,1.08498509259261,720
"144",2011,7,0.345,0.638,0.444249462365591,744
"145",2011,8,0.3593,0.8292,0.437013481173845,744
"146",2011,9,0.4014,0.8044,0.532927916666664,720
"147",2011,10,0.5374,3.405,0.989073476702507,744
"148",2011,11,0.617,4.43128571428572,0.914058455687833,720
"149",2011,12,0.801299999999982,3.82649999999777,1.35469988799281,744
"150",2012,1,0.632,2.025,1.08306982526881,744
"151",2012,2,0.662,1.842,0.916467528735646,696
"152",2012,3,0.668,2.04,1.18123696236562,744
"153",2012,4,0.3982,0.9052,0.587060859654703,720
"154",2012,5,0.321,0.8075,0.481224663978497,744
"155",2012,6,0.306349999999786,0.8764,0.432244288599539,720
"156",2012,7,0.2364,0.4137,0.297068615591394,744
"157",2012,8,0.124,0.4893,0.328923588158576,744
"158",2012,9,-0.08,0.984,0.418670709237382,609
"159",2012,10,0.343,2.58983333333333,0.836212601236056,744
"160",2012,11,0.348999999999974,2.0705,0.586218402777775,720
"161",2012,12,0.4353,1.51699999999988,0.763737989964164,744
"162",2013,1,0.368,6.776,1.47072715053763,744
"163",2013,2,0.454,3.592,1.09079761904762,672
"164",2013,3,0.537,7.213,1.31774327956989,744
"165",2013,4,0.974,7.194,2.1184375,720
"166",2013,5,0.408,2.781,0.847237903225806,744
"167",2013,6,0.578,8.806,1.25310138888889,720
"168",2013,7,0.529,2.071,0.892994623655914,744
"169",2013,8,-0.066,2.159,0.472134408602151,744
"170",2013,9,0.264,2.87,0.607520833333333,720
"171",2013,10,0.426,4.675,1.27759408602151,744
"172",2013,11,0.496,4.309,1.239818359375,512
"173",2013,12,0.45,2.519,1.02387365591398,744
"174",2014,1,0.407,2.996,1.28994489247312,744
"175",2014,2,1.04,2.649,1.44597023809524,672
"176",2014,3,0.274,3.438,1.39318010752688,744
"177",2014,4,0.672,6.606,2.77221527777778,720
"178",2014,5,0.524,3.28,1.40628592592593,675
"179",2014,6,0.468,1.313,0.661530555555556,720
"180",2014,7,0.376,5.173,0.797060728744939,741
"181",2014,8,0.508,2.431,0.824826446280992,726
"182",2014,9,0.579,6.312,1.47876805555556,720
"183",2014,10,0.947,2.174,1.27684677419355,744
"184",2014,11,0.744,4.005,1.35831944444444,720
"185",2014,12,0.788,1.656,1.04241700404858,741
"186",2015,1,0.544,1.556,0.950245967741935,744
"187",2015,2,0.568,1.48,1.10216517857143,672
"188",2015,3,0.768,1.78,1.18225806451613,744
"189",2015,4,0.784,4.276,1.71994166666667,720
"190",2015,5,0.274,2.773,0.525668032786885,732
"191",2015,6,0.401,2.835,1.05968340306834,717
"192",2015,7,0.312,1.275,0.633304347826087,621
"193",2015,8,0.296,0.764,0.522229323308271,266
"194",2015,9,0.352,1.712,0.480116666666667,720
"195",2015,10,0.52,2.996,0.831391129032258,744
"196",2015,11,0.696,1.401,0.892945833333333,720
"197",2015,12,0.58,1.768,0.818239247311828,744
"198",2016,1,0.434,2.271,0.982689516129032,744
"199",2016,2,0.45,2.158,1.06045545977012,696
"200",2016,3,0.744,3.34,1.58672714486639,711
"201",2016,4,0.928,4.924,1.89194722222222,720
"202",2016,5,0.492,2.01,0.812856749311295,726
"203",2016,6,0.308,0.806,0.466811320754717,689
"204",2016,7,0.264,0.874,0.366387537993921,658
"205",2016,8,0.254,2.996,0.64408064516129,744
"206",2016,9,0.392,1.086,0.509604166666667,720
"207",2016,10,0.474,0.866,0.592818548387097,744
"208",2016,11,0.56,1.81,0.793986111111111,720
"209",2016,12,0.664,2.755,0.987168010752688,744
"210",2017,1,0.858,6.047,1.80143682795699,744
"211",2017,2,0.708,3.772,1.38624404761905,672
"212",2017,3,0.401,3.784,1.46732661290323,744
"213",2017,4,1.118,4.941,2.02437361111111,720
"214",2017,5,0.858,4.642,1.84871102150538,744
"215",2017,6,0.612,2.142,0.893648611111111,720
"216",2017,7,0.536,1.96,0.920412634408602,744
"217",2017,8,0.528,1.728,0.746275908479139,743
"218",2017,9,0.536,1.102,0.622186111111111,720
"219",2017,10,0.58,1.285,0.816427419354839,744
"220",2017,11,0.809,2.223,1.21171666666667,720
"221",2017,12,0.652,1.35,0.87597311827957,744
"222",2018,1,0.818,6.568,1.95930510752688,744
"223",2018,2,0.477,8.617,2.02979613095238,672
"224",2018,3,0.632,1.985,0.999661290322581,744
"225",2018,4,1.081,4.193,2.22333888888889,720
"226",2018,5,0.48,2.201,1.15112096774194,744
"227",2018,6,0.407,2.115,0.736966666666667,720
"228",2018,7,0.328,0.732,0.441536290322581,744
"229",2018,8,0.364,1.256,0.631102150537634,744
"230",2018,9,0.43,0.776,0.542930555555556,720
"231",2018,10,0.556,1.973,0.952405913978495,744
"232",2018,11,0.784,3.604,1.55361111111111,720
"233",2018,12,0.821,2.101,1.18926344086021,744
"234",2019,1,0.344,2.288,1.13545295698925,744
"235",2019,2,0.552,4.459,1.5594880952381,672
"236",2019,3,0.438,4.525,1.77539946018893,741
"237",2019,4,1.652,4.259,2.46123783031989,719
"238",2019,5,1.106,4.176,2.21795833333333,744
"239",2019,6,0.955,2.239,1.34661111111111,720
"240",2019,7,0.614,1.895,0.903211021505376,744
"241",2019,8,0.504,0.989,0.644262449528937,743
"242",2019,9,0.524,1.032,0.642206415620642,717
"243",2019,10,0.58,3.29,1.15409005376344,744
"244",2019,11,1,3.796,1.47920277777778,720
"245",2019,12,0.846,2.478,1.28014401076716,743
"246",2020,1,0.704,9.944,2.44479811324824,744
"247",2020,2,0.807499999999999,1.85,1.27523292624522,696
"248",2020,3,0.792,4.45882352941176,2.02664203747125,743
"249",2020,4,0.854,2.2012,1.22176495370369,720
"250",2020,5,0.62,1.72600000000004,0.927015557795688,744
"251",2020,6,0.445999999999999,1.85750000000009,0.690108745644871,719
"252",2020,7,0.308,0.937,0.424745295698924,744
"253",2020,8,0.296,2.2012,0.596511117685224,738
"254",2020,9,0.35,1.24854666666185,0.457536870370357,720
"255",2020,10,0.292,1.321,0.704387048520586,743
"256",2020,11,0.237,1.27159999999999,0.427999583333335,720
"257",2020,12,0.18,1.82499999999999,0.673128600721546,743
"258",2021,1,0.214,1.3816,0.533841857335129,743
"259",2021,2,0.123999999999999,0.908447499999816,0.368639583310358,492
"260",2021,3,0.194860000000412,2.17407916001457,0.750435224553234,737
"261",2021,4,0.34,2.40914285714285,0.664196651215621,630
"262",2021,5,0.20999116666667,0.924852,0.373703569331801,658
"263",2021,6,0.158162416666769,2.27076010000006,0.378285598911622,720
"264",2021,7,0.344,2.292325,0.613614601058852,744
"265",2021,8,0.388486999999959,0.779490600000625,0.471025036384287,502
