"","Collection_Timestamp","Result","Units","Start_36hr_Period","Mean_Water_Temp","Total_Precipitation","log_transformed","sqrt_transformed","ln_transformed"
"1","2007-03-15 13:50:00",564,"µS/cm","2007-03-14 01:50:00",1.70208564583333,0.4,2.75127910398334,23.7486841740758,6.33505425149806
"2","2007-03-27 10:00:00",423,"µS/cm","2007-03-25 22:00:00",2.67916204166667,2,2.62634036737504,20.5669638012031,6.04737217904628
"3","2007-05-22 09:16:00",646,"µS/cm","2007-05-20 21:16:00",12.6718645833333,0,2.81023251799508,25.4165300542777,6.4707995037826
"4","2007-06-19 08:50:00",686,"µS/cm","2007-06-17 20:50:00",17.8052070833333,8.8,2.83632411570675,26.1916017074176,6.53087762772588
"5","2007-07-16 09:03:00",695,"µS/cm","2007-07-14 21:03:00",16.1385427083333,0,2.84198480459011,26.3628526529281,6.54391184556479
"6","2007-08-13 09:37:00",682,"µS/cm","2007-08-11 21:37:00",18.0302233333333,2.8,2.83378437465648,26.1151297144012,6.52502965784346
"7","2007-09-17 10:14:00",689,"µS/cm","2007-09-15 22:14:00",14.2031420833333,0,2.83821922190763,26.2488094968134,6.53524127101366
"8","2007-10-22 09:23:00",698,"µS/cm","2007-10-20 21:23:00",12.602100625,0,2.84385542262316,26.4196896272458,6.54821910276237
"9","2008-05-21 09:01:00",640,"µS/cm","2008-05-19 21:01:00",10.4791666666666,0,2.80617997398389,25.298221281347,6.46146817635372
"10","2008-06-24 09:21:00",661,"µS/cm","2008-06-22 21:21:00",15.4875,1.8,2.82020145948564,25.7099202643649,6.49375383985169
"11","2008-07-21 09:26:00",624,"µS/cm","2008-07-19 21:26:00",17.81875,31.8,2.79518458968242,24.9799919935936,6.43615036836943
"12","2008-08-12 09:15:00",651,"µS/cm","2008-08-10 21:15:00",15.1958333333333,0,2.81358098856819,25.5147016443461,6.47850964220857
"13","2008-09-15 09:15:00",593,"µS/cm","2008-09-13 21:15:00",14.7927048649647,24.6,2.77305469336426,24.3515913237718,6.38519439899773
"14","2008-10-09 08:46:00",684,"µS/cm","2008-10-07 20:46:00",10.0437361134257,12,2.83505610172012,26.153393661244,6.52795791762255
"15","2008-11-06 09:55:00",698,"µS/cm","2008-11-04 21:55:00",7.03645949433987,0.2,2.84385542262316,26.4196896272458,6.54821910276237
"16","2009-03-18 09:20:00",579,"µS/cm","2009-03-16 21:20:00",2.71458333333333,0,2.76267856372744,24.0624188310319,6.361302477573
"17","2009-04-06 09:40:00",525,"µS/cm","2009-04-04 21:40:00",4.96145717977963,13.4,2.72015930340596,22.9128784747792,6.26339826259162
"18","2009-05-05 09:35:00",605,"µS/cm","2009-05-03 21:35:00",10.5677118094093,6.4,2.78175537465247,24.5967477524977,6.40522845803084
"19","2009-06-15 10:00:00",659,"µS/cm","2009-06-13 22:00:00",14.1437546219225,0,2.81888541459401,25.6709953059869,6.49072353450251
"20","2009-07-14 09:40:00",666,"µS/cm","2009-07-12 21:40:00",16.5927187384391,0,2.8234742291703,25.8069758011279,6.50128967054039
"21","2009-09-14 09:00:00",694,"µS/cm","2009-09-12 21:00:00",15.5200148148147,0,2.84135947045485,26.343879744639,6.5424719605068
"22","2009-10-19 09:00:00",687,"µS/cm","2009-10-17 21:00:00",7.18541203703738,0,2.83695673705955,26.2106848441623,6.53233429222235
"23","2009-11-23 08:55:00",687,"µS/cm","2009-11-21 20:55:00",6.76458333333333,0,2.83695673705955,26.2106848441623,6.53233429222235
"24","2010-04-08 09:20:00",553,"µS/cm","2010-04-06 21:20:00",9.22083333333334,30.2,2.7427251313047,23.5159520326097,6.31535800152233
"25","2010-04-19 09:15:00",644,"µS/cm","2010-04-17 21:15:00",9.12083333333333,0.2,2.80888586735981,25.377155080899,6.46769872610435
"26","2010-05-25 09:31:00",665,"µS/cm","2010-05-23 21:31:00",14.8197916666666,0,2.8228216453031,25.7875939164553,6.49978704065585
"27","2010-06-21 09:20:00",668,"µS/cm","2010-06-19 21:20:00",16.9104166666666,20,2.82477646247555,25.8456959666402,6.50428817353665
"28","2010-07-19 09:20:00",669,"µS/cm","2010-07-17 21:20:00",18.93125,6,2.82542611776782,25.8650343127551,6.50578406012823
"29","2010-08-16 09:40:00",692,"µS/cm","2010-08-14 21:40:00",18.8843645948948,0.4,2.84010609445676,26.3058928759318,6.53958595561767
"30","2010-09-20 09:35:00",685,"µS/cm","2010-09-18 21:35:00",13.6072997595263,0.2,2.83569057149243,26.1725046566048,6.52941883826223
"31","2010-10-26 09:40:00",692,"µS/cm","2010-10-24 21:40:00",9.69999999999999,11.8,2.84010609445676,26.3058928759318,6.53958595561767
"32","2010-11-24 09:45:00",668,"µS/cm","2010-11-22 21:45:00",6.68510638297872,10.2,2.82477646247555,25.8456959666402,6.50428817353665
"33","2011-03-11 16:25:00",471,"µS/cm","2011-03-10 04:25:00",1.35416666666665,37.2,2.6730209071289,21.7025344142107,6.15485809401642
"34","2011-04-11 09:45:00",589,"µS/cm","2011-04-09 21:45:00",4.83124999999999,6.2,2.7701152947871,24.2693221990232,6.37842618365159
"35","2011-05-17 09:35:00",598,"µS/cm","2011-05-15 21:35:00",11.0458333333333,7,2.77670118398841,24.454038521275,6.39359075395063
"36","2011-06-20 09:10:00",688,"µS/cm","2011-06-18 21:10:00",15.8458333333333,0,2.83758843823551,26.229754097208,6.53378883793334
"37","2011-07-18 09:40:00",705,"µS/cm","2011-07-16 21:40:00",17.6541666666666,0,2.8481891169914,26.5518360947035,6.55819780281227
"38","2011-08-15 09:20:00",700,"µS/cm","2011-08-13 21:20:00",17.3020833333332,0,2.84509804001426,26.4575131106459,6.5510803350434
"39","2011-09-12 09:25:00",661,"µS/cm","2011-09-10 21:25:00",15.7333333333333,0,2.82020145948564,25.7099202643649,6.49375383985169
"40","2011-10-18 09:35:00",698,"µS/cm","2011-10-16 21:35:00",11.6895833333333,0,2.84385542262316,26.4196896272458,6.54821910276237
"41","2011-11-17 10:10:00",703,"µS/cm","2011-11-15 22:10:00",7.98541666666667,0,2.84695532501982,26.5141471671257,6.55535689181067
"42","2012-04-16 09:10:00",689,"µS/cm","2012-04-14 21:10:00",8.08645833333318,4.6,2.83821922190763,26.2488094968134,6.53524127101366
"43","2012-05-05 09:15:00",688,"µS/cm","2012-05-03 21:15:00",10.925,7.6,2.83758843823551,26.229754097208,6.53378883793334
"44","2012-06-18 09:00:00",685,"µS/cm","2012-06-16 21:00:00",17.6625,4.2,2.83569057149243,26.1725046566048,6.52941883826223
"45","2012-07-16 09:00:00",698,"µS/cm","2012-07-14 21:00:00",19.3739583333333,0,2.84385542262316,26.4196896272458,6.54821910276237
"46","2012-08-13 09:00:00",720,"µS/cm","2012-08-11 21:00:00",17.9444444444444,1.8,2.85733249643127,26.8328157299975,6.5792512120101
"47","2012-09-12 09:20:00",694,"µS/cm","2012-09-10 21:20:00",15.8007740402899,0,2.84135947045485,26.343879744639,6.5424719605068
"48","2012-10-15 09:20:00",701,"µS/cm","2012-10-13 21:20:00",9.75624999999998,21.6,2.84571801796666,26.4764045897475,6.55250788703459
"49","2012-11-13 09:15:00",688,"µS/cm","2012-11-11 21:15:00",7.06666666666692,8.8,2.83758843823551,26.229754097208,6.53378883793334
