"","Year","Month","Minimum","Maximum","Average","Num_Samples"
"1",1999,8,13,15.3,14.4042553191489,47
"2",1999,9,10.1,15.3,13.6810276679842,506
"3",1999,10,6.3,13.4,10.1775537634409,744
"4",1999,11,2.6,10.1,7.405,720
"5",1999,12,0,7.7,4.68275862068965,638
"6",2000,1,0,4.6,2.13174224343675,419
"7",2000,2,0,4.9,3.37256371814093,667
"8",2000,3,0,4.9,2.64010989010989,728
"9",2000,4,0,5.4,3.47774687065369,719
"10",2000,5,4.1,9.5,7.36787634408602,744
"11",2000,6,8.7,11.9,10.3461322081575,711
"12",2000,7,11.6,13.5,12.7457374830853,739
"13",2000,8,11.8,14.3,13.3515358361775,293
"14",2001,3,1,3.4,1.91651651651652,666
"15",2001,4,3,11.8,6.81265646731572,719
"16",2001,5,10.4,16.8,13.4674731182796,744
"17",2001,6,11.6,22,16.8288888888889,720
"18",2001,7,16.1,22.3,18.9777934936351,707
"19",2001,8,16.9,23.2,19.4690444145357,743
"20",2001,9,11.4,19.3,15.6651388888889,720
"21",2001,10,7.1,14.2,10.6240915208614,743
"22",2001,11,5.4,9.7,7.41277777777778,720
"23",2001,12,1.4,7.4,4.43428143712575,668
"24",2002,1,1.1,2.9,1.58544303797468,158
"25",2002,2,1,3,1.59441117764471,501
"26",2002,3,1.3,4.4,2.61922043010753,744
"27",2002,4,3,13.1,6.97402777777778,720
"28",2002,5,7.1,15.8,9.72987886944818,743
"29",2002,6,12.1,19.6,15.9197496522949,719
"30",2002,7,16.4,21.3,18.7700268817204,744
"31",2002,8,15.6,20.3,17.6478494623656,744
"32",2002,9,13.1,17.4,15.8095966620306,719
"33",2002,10,5.5,15.5,10.6208446866485,734
"34",2002,11,3,8.4,5.52743732590529,718
"35",2002,12,1.1,3.3,1.57304582210243,742
"36",2003,1,0.6,1.8,1.18924731182796,744
"37",2003,2,0.3,0.7,0.561019490254873,667
"38",2003,3,0.3,2.9,0.848046309696093,691
"39",2003,4,1,8.8,4.06173184357542,716
"40",2003,5,7.5,12.6,9.99260752688172,744
"41",2003,6,11,17.9,14.1934540389972,718
"42",2003,7,15.6,18.5,16.7793800539084,742
"43",2003,8,15.7,18.3,17.1305555555556,720
"44",2003,9,11.8,16.3,14.8769874476987,717
"45",2003,10,7.4,11.8,9.47398921832884,742
"46",2003,11,4.2,9.1,6.47057182705718,717
"47",2003,12,2.2,4.3,2.73333333333333,744
"48",2004,1,1.1,3.9,1.73064516129032,744
"49",2004,2,1,1.6,1.17686781609195,696
"50",2004,3,1.2,4.6,2.10922659430122,737
"51",2004,4,3.9,9.6,6.44297635605007,719
"52",2004,5,8.5,14.8,11.8254032258065,744
"53",2004,6,11.9,16.5,14.5643055555556,720
"54",2004,7,14.7,18.8,16.851747311828,744
"55",2004,8,14.1,17.9,15.9504178272981,718
"56",2004,9,12.9,17.3,15.2326388888889,720
"57",2004,10,9,13.4,10.385752688172,744
"58",2004,11,4.5,10.1,6.7105702364395,719
"59",2004,12,1.5,5.1,2.97768817204301,744
"60",2005,1,1.2,2.3,1.63212365591398,744
"61",2005,2,1.1,1.4,1.21354166666667,672
"62",2005,3,1.1,2.8,1.48977119784657,743
"63",2005,4,1.9,9.1,5.73756983240223,716
"64",2005,5,6.5,14.3,10.3837365591398,744
"65",2005,6,13.5,20.6,17.9011111111111,720
"66",2005,7,16.8,20.7,18.7166416791604,667
"67",2005,8,15.6,19.1,17.5185286103542,734
"68",2005,9,13.5,17.2,15.8005555555556,720
"69",2005,10,7,15,11.3879032258065,744
"70",2005,11,3.1,9.3,6.68172942817294,717
"71",2005,12,1.8,5.1,2.46061827956989,744
"72",2006,1,1.6,3.3,2.30510752688172,744
"73",2006,2,1.1,2.8,1.81696428571429,672
"74",2006,3,0.9,5.3,2.12099596231494,743
"75",2006,4,4.8,11,7.78986111111111,720
"76",2006,5,9.4,17.2,11.9817204301075,744
"77",2006,6,15.1,19,16.9998611111111,720
"78",2006,7,16.9,19.6,18.2434301521438,723
"79",2006,8,15.8,20.7,17.4321668909825,743
"80",2006,9,12,16.2,14.6297222222222,720
"81",2006,10,6.6,13.1,10.0161290322581,744
"82",2006,11,4.4,7.4,6.17051460361613,719
"83",2006,12,2.7,7.4,4.04475806451613,744
"84",2007,1,1.7,5.1,2.82069892473118,744
"85",2007,2,1.1,1.7,1.36476868327402,562
"86",2007,3,1.2,4.4,1.95094339622642,742
"87",2007,4,2.8,10,5.57777777777778,720
"88",2007,5,9.1,16.1,12.6333333333333,693
"89",2007,6,14.6,18.5,16.8381944444444,720
"90",2007,7,15.3,18.3,16.7782258064516,744
"91",2007,8,15.5,19.5,17.6600269179004,743
"92",2007,9,13.2,18.1,15.7581944444444,720
"93",2007,10,9.3,16.1,13.0165745856354,724
"94",2007,11,3.3,9.8,6.05340751043115,719
"95",2007,12,2.1,3.3,2.43908355795148,742
"96",2008,1,0.9,3.1,2.05094086021505,744
"97",2008,2,1,1.4,1.18045977011494,696
"98",2008,3,1,2.7,1.50833333333333,744
"99",2008,4,1.7,12,6.51388888888889,720
"100",2008,5,8.5,14.5,11.1681451612903,744
"101",2008,6,12.7,18.8,16.1086111111111,720
"102",2008,7,15.8,18.2,16.9693548387097,744
"103",2008,8,14.2,16.9,15.5190860215054,744
"104",2008,9,12.2,16,13.9794251134644,661
"105",2008,10,6.1,13.4,9.5247311827957,744
"106",2008,11,3.1,7.9,5.55625,720
"107",2008,12,1.5,3.4,2.34623655913978,744
"108",2009,1,1.3,1.7,1.5010752688172,744
"109",2009,2,1,1.5,1.21056547619048,672
"110",2009,3,1,5,2.51034946236559,744
"111",2009,4,3.6,10.6,6.34464534075104,719
"112",2009,5,10.1,14.6,11.8679245283019,742
"113",2009,6,12.1,18.5,14.8541666666667,720
"114",2009,7,15.5,17.6,16.4102749638206,691
"115",2009,8,15.2,19.3,17.1921052631579,646
"116",2009,9,13.2,16.7,15.1993026499303,717
"117",2009,10,6.6,13.5,9.66643741403026,727
"118",2009,11,5.5,10,6.93602941176471,680
"119",2009,12,1.8,5.7,3.00537634408602,744
"120",2010,1,1.2,1.9,1.49717741935484,744
"121",2010,2,0.9,1.2,1.00119047619048,672
"122",2010,3,1,5.4,2.73185483870968,744
"123",2010,4,5.6,11.1,9.12694444444444,720
"124",2010,5,9,18.1,13.059097127223,731
"125",2010,6,14.2,18.4,16.4386111111111,720
"126",2010,7,14.9,19.8,18.069623655914,744
"127",2010,8,15.4,19.2,17.4106182795699,744
"128",2010,9,13,18.4,14.9240559440559,715
"129",2010,10,8.4,13.2,10.5207267833109,743
"130",2010,11,4,9.1,6.19443671766342,719
"131",2010,12,1.4,4.9,2.35021037868163,713
"132",2011,1,1.2,1.8,1.45120967741935,744
"133",2011,2,0.9,1.3,1.13735119047619,672
"134",2011,3,0.9,2.8,1.67405913978495,744
"135",2011,4,2.5,8.1,5.25972222222222,720
"136",2011,5,7.5,14.9,11.0540322580645,744
"137",2011,6,14.1,16.9,15.47,720
"138",2011,7,15.2,20.3,17.9168010752688,744
"139",2011,8,15.8,19.4,17.5697580645161,744
"140",2011,9,13,17.7,15.1225,720
"141",2011,10,7.4,14.3,11.2329301075269,744
"142",2011,11,5.4,8.4,7.00458333333333,720
"143",2011,12,2.5,6.4,3.89354838709677,744
"144",2012,1,1.5,2.9,2.1343203230148,743
"145",2012,2,1.5,2.4,1.81293103448276,696
"146",2012,3,1.7,10.3,5.25672043010753,744
"147",2012,4,6.1,10.6,7.71777777777778,720
"148",2012,5,7.5,17.6,13.2975806451613,744
"149",2012,6,13.6,20.4,17.0361111111111,720
"150",2012,7,18.3,20.7,19.4005376344086,744
"151",2012,8,16,20.2,18.5374358974359,390
"152",2012,9,12.1,18.1,14.9933121019108,628
"153",2012,10,8.4,13.8,10.884811827957,744
"154",2012,11,3.9,8.7,6.18888888888889,720
"155",2012,12,2.4,5.7,3.7866935483871,744
"156",2013,1,1.2,3.8,2.20591397849462,744
"157",2013,2,1.2,1.5,1.28645833333333,672
"158",2013,3,1.4,3.6,1.95967741935484,744
"159",2013,4,2.8,8.8,5.36041666666667,720
"160",2013,5,9,15.8,12.780376344086,744
"161",2013,6,13.3,17.8,15.3302777777778,720
"162",2013,7,15.5,20.5,17.578331090175,743
"163",2013,8,14.5,17.7,16.1481830417227,743
