"","X","Collection_Timestamp","Result","Units","Start_36hr_Period","Mean_Water_Temp","Total_Precipitation","log_transformed","sqrt_transformed","ln_transformed"
"1",1,"2007-03-15 13:50:00",0.083,"mg/L","2007-03-14 01:50:00",1.70208564583333,0.4,-1.08092190762393,0.288097205817759,-2.48891467118554
"2",2,"2007-03-27 10:00:00",0.098,"mg/L","2007-03-25 22:00:00",2.67916204166667,2,-1.00877392430751,0.313049516849971,-2.32278780031156
"3",3,"2007-05-22 09:16:00",0.024,"mg/L","2007-05-20 21:16:00",12.6718645833333,0,-1.61978875828839,0.154919333848297,-3.72970144863419
"4",4,"2007-06-19 08:50:00",0.02,"mg/L","2007-06-17 20:50:00",17.8052070833333,8.8,-1.69897000433602,0.14142135623731,-3.91202300542815
"5",5,"2007-07-16 09:03:00",0.008,"mg/L","2007-07-14 21:03:00",16.1385427083333,0,-2.09691001300806,0.0894427190999916,-4.8283137373023
"6",6,"2007-08-13 09:37:00",0.007,"mg/L","2007-08-11 21:37:00",18.0302233333333,2.8,-2.15490195998574,0.0836660026534076,-4.96184512992682
"7",7,"2007-09-17 10:14:00",0.002,"mg/L","2007-09-15 22:14:00",14.2031420833333,0,-2.69897000433602,0.0447213595499958,-6.21460809842219
"8",8,"2007-10-22 09:23:00",0.002,"mg/L","2007-10-20 21:23:00",12.602100625,0,-2.69897000433602,0.0447213595499958,-6.21460809842219
"9",9,"2008-05-21 09:01:00",0.005,"mg/L","2008-05-19 21:01:00",10.4791666666666,0,-2.30102999566398,0.0707106781186548,-5.29831736654804
"10",10,"2008-06-24 09:21:00",0.003,"mg/L","2008-06-22 21:21:00",15.4875,1.8,-2.52287874528034,0.0547722557505166,-5.80914299031403
"11",11,"2008-07-21 09:26:00",0.016,"mg/L","2008-07-19 21:26:00",17.81875,31.8,-1.79588001734408,0.126491106406735,-4.13516655674236
"12",12,"2008-08-12 09:15:00",0.002,"mg/L","2008-08-10 21:15:00",15.1958333333333,0,-2.69897000433602,0.0447213595499958,-6.21460809842219
"13",13,"2008-09-15 09:15:00",0.018,"mg/L","2008-09-13 21:15:00",14.7927048649647,24.6,-1.74472749489669,0.134164078649987,-4.01738352108597
