"","X","Collection_Timestamp","Result","Units","Start_36hr_Period","Mean_Water_Temp","Total_Precipitation","log_transformed","sqrt_transformed","ln_transformed"
"1",1,"2007-03-15 13:50:00",0.0096,"mg/L","2007-03-14 01:50:00",1.70208564583333,0.4,-2.01772876696043,0.0979795897113271,-4.64599218050835
"2",2,"2007-03-27 10:00:00",0.0154,"mg/L","2007-03-25 22:00:00",2.67916204166667,2,-1.81247927916354,0.124096736459909,-4.17338776956255
"3",3,"2007-05-22 09:16:00",6e-04,"mg/L","2007-05-20 21:16:00",12.6718645833333,0,-3.22184874961636,0.0244948974278318,-7.41858090274813
"4",4,"2007-06-19 08:50:00",0.0014,"mg/L","2007-06-17 20:50:00",17.8052070833333,8.8,-2.85387196432176,0.0374165738677394,-6.57128304236092
"5",5,"2007-07-16 09:03:00",0.0014,"mg/L","2007-07-14 21:03:00",16.1385427083333,0,-2.85387196432176,0.0374165738677394,-6.57128304236092
"6",6,"2007-08-13 09:37:00",0.0023,"mg/L","2007-08-11 21:37:00",18.0302233333333,2.8,-2.63827216398241,0.0479583152331272,-6.07484615604703
"7",7,"2007-09-17 10:14:00",0.001,"mg/L","2007-09-15 22:14:00",14.2031420833333,0,-3,0.0316227766016838,-6.90775527898214
"8",8,"2007-10-22 09:23:00",0.0025,"mg/L","2007-10-20 21:23:00",12.602100625,0,-2.60205999132796,0.05,-5.99146454710798
"9",9,"2008-05-21 09:01:00",5e-04,"mg/L","2008-05-19 21:01:00",10.4791666666666,0,-3.30102999566398,0.0223606797749979,-7.60090245954208
"10",10,"2008-07-21 09:26:00",0.004,"mg/L","2008-07-19 21:26:00",17.81875,31.8,-2.39794000867204,0.0632455532033676,-5.52146091786225
"11",11,"2008-08-12 09:15:00",0.0034,"mg/L","2008-08-10 21:15:00",15.1958333333333,0,-2.46852108295775,0.058309518948453,-5.68397984736002
"12",12,"2008-09-15 09:15:00",0.0062,"mg/L","2008-09-13 21:15:00",14.7927048649647,24.6,-2.20760831050175,0.0787400787401181,-5.08320598693109
"13",13,"2008-10-09 08:46:00",0.001,"mg/L","2008-10-07 20:46:00",10.0437361134257,12,-3,0.0316227766016838,-6.90775527898214
"14",14,"2008-11-06 09:55:00",7e-04,"mg/L","2008-11-04 21:55:00",7.03645949433987,0.2,-3.15490195998574,0.0264575131106459,-7.26443022292087
"15",15,"2009-03-18 09:20:00",0.0024,"mg/L","2009-03-16 21:20:00",2.71458333333333,0,-2.61978875828839,0.0489897948556636,-6.03228654162824
"16",16,"2009-04-06 09:40:00",8e-04,"mg/L","2009-04-04 21:40:00",4.96145717977963,13.4,-3.09691001300806,0.0282842712474619,-7.13089883029635
"17",17,"2009-05-05 09:35:00",0.0034,"mg/L","2009-05-03 21:35:00",10.5677118094093,6.4,-2.46852108295775,0.058309518948453,-5.68397984736002
"18",18,"2009-06-15 10:00:00",0.0016,"mg/L","2009-06-13 22:00:00",14.1437546219225,0,-2.79588001734407,0.04,-6.4377516497364
