"","X.1","X","Collection_Timestamp","Result","Units","Start_36hr_Period","Mean_Water_Temp","Total_Precipitation","log_transformed","sqrt_transformed","ln_transformed"
"1",1,1,"2007-03-15 13:50:00",7.73,"N/A","2007-03-14 01:50:00",1.70208564583333,0.4,0.888179493918325,2.78028775489157,2.04510886259933
"2",2,2,"2007-03-27 10:00:00",7.81,"N/A","2007-03-25 22:00:00",2.67916204166667,2,0.8926510338773,2.79463772249642,2.05540496385159
"3",3,3,"2007-05-22 09:16:00",8.29,"N/A","2007-05-20 21:16:00",12.6718645833333,0,0.918554530550273,2.87923600977759,2.1150499691472
"4",4,4,"2007-06-19 08:50:00",8.57,"N/A","2007-06-17 20:50:00",17.8052070833333,8.8,0.932980821923198,2.92745623366089,2.14826773260969
"5",5,5,"2007-07-16 09:03:00",8.22,"N/A","2007-07-14 21:03:00",16.1385427083333,0,0.91487181754005,2.86705423736629,2.10657020906809
"6",6,6,"2007-08-13 09:37:00",8.04,"N/A","2007-08-11 21:37:00",18.0302233333333,2.8,0.905256048748451,2.83548937575156,2.08442908319087
"7",7,7,"2007-09-17 10:14:00",8.71,"N/A","2007-09-15 22:14:00",14.2031420833333,0,0.940018155007663,2.95127091267474,2.16447179086441
"8",8,8,"2007-10-22 09:23:00",8.07,"N/A","2007-10-20 21:23:00",12.602100625,0,0.90687353472207,2.84077454226836,2.08815348228186
"9",9,9,"2008-05-21 09:01:00",8.25,"N/A","2008-05-19 21:01:00",10.4791666666666,0,0.916453948549925,2.87228132326901,2.11021320034659
"10",10,10,"2008-06-24 09:21:00",8.51,"N/A","2008-06-22 21:21:00",15.4875,1.8,0.929929560084588,2.91719042916296,2.14124194258528
"11",11,11,"2008-07-21 09:26:00",8.1,"N/A","2008-07-19 21:26:00",17.81875,31.8,0.90848501887865,2.84604989415154,2.09186406167839
"12",12,12,"2008-08-12 09:15:00",7.96,"N/A","2008-08-10 21:15:00",15.1958333333333,0,0.900913067737669,2.82134719593318,2.07442899985629
"13",13,13,"2008-09-15 09:15:00",7.64,"N/A","2008-09-13 21:15:00",14.7927048649647,24.6,0.88309335857569,2.76405499221705,2.03339760317843
"14",14,14,"2008-10-09 08:46:00",8,"N/A","2008-10-07 20:46:00",10.0437361134257,12,0.903089986991944,2.82842712474619,2.07944154167984
"15",15,15,"2008-11-06 09:55:00",7.98,"N/A","2008-11-04 21:55:00",7.03645949433987,0.2,0.902002891350729,2.82488937836511,2.07693841146172
"16",16,16,"2009-03-18 09:20:00",7.86,"N/A","2009-03-16 21:20:00",2.71458333333333,0,0.895422546039408,2.80356915377524,2.06178660644112
"17",17,17,"2009-04-06 09:40:00",7.9,"N/A","2009-04-04 21:40:00",4.96145717977963,13.4,0.897627091290441,2.81069386451104,2.06686275947298
"18",18,18,"2009-05-05 09:35:00",8.16,"N/A","2009-05-03 21:35:00",10.5677118094093,6.4,0.911690158753861,2.85657137141714,2.09924416897602
"19",19,19,"2009-06-15 10:00:00",8.17,"N/A","2009-06-13 22:00:00",14.1437546219225,0,0.912222056532416,2.85832118559129,2.10046890887191
"20",20,20,"2009-07-14 09:40:00",8.11,"N/A","2009-07-12 21:40:00",16.5927187384391,0,0.909020854211156,2.84780617317963,2.09309786812732
"21",21,21,"2009-09-14 09:00:00",8.12,"N/A","2009-09-12 21:00:00",15.5200148148147,0,0.909556029241175,2.849561369755,2.09433015417359
"22",22,22,"2009-10-19 09:00:00",8.02,"N/A","2009-10-17 21:00:00",7.18541203703738,0,0.904174368284164,2.83196045170126,2.08193842187842
"23",23,23,"2009-11-23 08:55:00",7.94,"N/A","2009-11-21 20:55:00",6.76458333333333,0,0.899820502427096,2.81780056072107,2.07191327525904
"24",24,24,"2010-04-08 09:20:00",7.95,"N/A","2010-04-06 21:20:00",9.22083333333334,30.2,0.90036712865647,2.81957443597434,2.07317192866624
"25",25,25,"2010-04-19 09:15:00",8.15,"N/A","2010-04-17 21:15:00",9.12083333333333,0.2,0.911157608739977,2.85482048472404,2.09801792725277
"26",26,26,"2010-05-25 09:31:00",8.06,"N/A","2010-05-23 21:31:00",14.8197916666666,0,0.906335041805091,2.83901391331568,2.08691355651854
"27",27,27,"2010-06-21 09:20:00",8.01,"N/A","2010-06-19 21:20:00",16.9104166666666,20,0.903632516084238,2.83019433961698,2.08069076108027
"28",28,28,"2010-07-19 09:20:00",7.99,"N/A","2010-07-17 21:20:00",18.93125,6,0.902546779313991,2.82665880502051,2.07819075977818
"29",29,29,"2010-08-16 09:40:00",8.06,"N/A","2010-08-14 21:40:00",18.8843645948948,0.4,0.906335041805091,2.83901391331568,2.08691355651854
"30",30,30,"2010-09-20 09:35:00",8.27,"N/A","2010-09-18 21:35:00",13.6072997595263,0.2,0.917505509552547,2.87576076890968,2.1126345090356
"31",31,31,"2010-10-26 09:40:00",7.96,"N/A","2010-10-24 21:40:00",9.69999999999999,11.8,0.900913067737669,2.82134719593318,2.07442899985629
"32",32,32,"2010-11-24 09:45:00",7.74,"N/A","2010-11-22 21:45:00",6.68510638297872,10.2,0.888740960682893,2.78208554864871,2.04640168760164
"33",33,33,"2011-03-11 16:25:00",7.54,"N/A","2011-03-10 04:25:00",1.35416666666665,37.2,0.877371345869774,2.7459060435492,2.02022218201986
"34",34,34,"2011-04-11 09:45:00",7.89,"N/A","2011-04-09 21:45:00",4.83124999999999,6.2,0.89707700320942,2.80891438103763,2.06559613485778
"35",35,35,"2011-05-17 09:35:00",8.03,"N/A","2011-05-15 21:35:00",11.0458333333333,7,0.904715545278681,2.83372546306095,2.08318452795867
"36",36,36,"2011-06-20 09:10:00",8.05,"N/A","2011-06-18 21:10:00",15.8458333333333,0,0.905795880367869,2.83725219182222,2.08567209143047
